epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,855.256,1.53145,2.14622,1.25298,0.70295,0.62631,0.69976,0.42606,1.38191,2.102,1.24211,0.00055323,0.00055323,0.00055323
2,1664.9,1.52205,1.4926,1.27036,0.70207,0.76246,0.7731,0.45109,1.47148,1.39311,1.29816,0.00108694,0.00108694,0.00108694
3,2465.09,1.50531,1.2892,1.27306,0.79589,0.77495,0.82479,0.47388,1.44794,1.194,1.29435,0.00159865,0.00159865,0.00159865
4,3254.06,1.49605,1.18845,1.27888,0.75594,0.778,0.82998,0.4866,1.43712,1.10651,1.29135,0.00156798,0.00156798,0.00156798
5,4054.01,1.44445,1.10343,1.25676,0.75649,0.75601,0.81964,0.47364,1.47098,1.06916,1.30388,0.00153497,0.00153497,0.00153497
6,4850.57,1.42414,1.06622,1.24444,0.78648,0.8018,0.84885,0.50765,1.38074,0.99439,1.25367,0.00150197,0.00150197,0.00150197
7,5645.21,1.41788,1.03523,1.23542,0.8392,0.79601,0.88116,0.54029,1.37832,0.85514,1.26595,0.00146896,0.00146896,0.00146896
8,6438.66,1.38432,0.97043,1.21358,0.85061,0.8265,0.89123,0.55157,1.34197,0.84296,1.23277,0.00143595,0.00143595,0.00143595
9,7234.32,1.39154,0.94478,1.21652,0.84845,0.80975,0.89075,0.5398,1.38151,0.84125,1.25698,0.00140295,0.00140295,0.00140295
10,8029.46,1.3518,0.91306,1.20739,0.82891,0.85215,0.891,0.54379,1.37395,0.80898,1.24262,0.00136994,0.00136994,0.00136994
11,8820.95,1.34339,0.88617,1.20041,0.82288,0.82866,0.89161,0.54168,1.40058,0.83002,1.27849,0.00133693,0.00133693,0.00133693
12,9621.91,1.33371,0.86633,1.19031,0.83097,0.87072,0.90496,0.56203,1.35387,0.76701,1.24705,0.00130393,0.00130393,0.00130393
13,10422.9,1.33316,0.84789,1.18802,0.81496,0.84773,0.87831,0.54392,1.34807,0.81516,1.23011,0.00127092,0.00127092,0.00127092
14,11221,1.31245,0.83285,1.18006,0.8597,0.7982,0.90396,0.57097,1.33993,0.79601,1.2517,0.00123791,0.00123791,0.00123791
15,12029.1,1.29809,0.84545,1.17069,0.84834,0.85756,0.91016,0.56122,1.35913,0.76634,1.24032,0.00120491,0.00120491,0.00120491
16,12829.2,1.27695,0.79275,1.163,0.84951,0.86046,0.90323,0.57772,1.31413,0.74271,1.22906,0.0011719,0.0011719,0.0011719
17,13614.8,1.25548,0.78162,1.1572,0.8254,0.84999,0.89942,0.56227,1.32473,0.73503,1.22391,0.00113889,0.00113889,0.00113889
18,14401.3,1.26273,0.76919,1.16069,0.82945,0.88699,0.91166,0.58131,1.32456,0.72299,1.22776,0.00110589,0.00110589,0.00110589
19,15185.5,1.24653,0.75761,1.15257,0.81845,0.87904,0.90682,0.55999,1.36483,0.73395,1.25847,0.00107288,0.00107288,0.00107288
20,15970.3,1.25122,0.75373,1.15115,0.86507,0.85465,0.9194,0.58532,1.3193,0.69738,1.21288,0.00103987,0.00103987,0.00103987
21,16757.6,1.23064,0.7294,1.13298,0.8254,0.84196,0.89676,0.56732,1.33051,0.75613,1.226,0.00100687,0.00100687,0.00100687
22,17548.6,1.2139,0.72237,1.13004,0.82435,0.85462,0.90457,0.57389,1.329,0.73044,1.22325,0.000973861,0.000973861,0.000973861
23,18343.8,1.20612,0.71618,1.12225,0.87181,0.84887,0.91617,0.57746,1.33047,0.69317,1.23157,0.000940855,0.000940855,0.000940855
24,19129.8,1.20028,0.71093,1.12167,0.86413,0.86948,0.91209,0.57852,1.33019,0.70359,1.22863,0.000907848,0.000907848,0.000907848
25,19911.4,1.18359,0.68821,1.11203,0.8483,0.87126,0.91663,0.57907,1.33464,0.6755,1.2329,0.000874842,0.000874842,0.000874842
26,20697.1,1.17773,0.67277,1.10494,0.87062,0.85298,0.91453,0.55707,1.40383,0.70039,1.27822,0.000841835,0.000841835,0.000841835
27,21481.3,1.16225,0.67677,1.10189,0.87274,0.86396,0.92932,0.58793,1.33851,0.66221,1.22978,0.000808828,0.000808828,0.000808828
28,22264,1.13361,0.65688,1.09531,0.85016,0.8819,0.919,0.59493,1.29765,0.67252,1.20631,0.000775822,0.000775822,0.000775822
29,23050.5,1.12931,0.6334,1.08831,0.85896,0.86172,0.91198,0.57202,1.35512,0.70454,1.22795,0.000742815,0.000742815,0.000742815
30,23832.6,1.12618,0.64555,1.08491,0.86488,0.87089,0.91621,0.58342,1.32427,0.69014,1.22698,0.000709809,0.000709809,0.000709809
31,24628.6,1.1058,0.61542,1.07919,0.85978,0.90039,0.92779,0.58979,1.33303,0.64759,1.23638,0.000676802,0.000676802,0.000676802
32,25422.6,1.10469,0.62276,1.0734,0.8753,0.8602,0.91708,0.58101,1.34253,0.69118,1.23112,0.000643795,0.000643795,0.000643795
33,26205,1.09436,0.60114,1.06783,0.85222,0.89469,0.91984,0.58664,1.32169,0.66892,1.22666,0.000610789,0.000610789,0.000610789
34,26990.9,1.07167,0.5994,1.05507,0.83998,0.87859,0.91043,0.58332,1.32156,0.70964,1.21753,0.000577782,0.000577782,0.000577782
35,27776.2,1.07626,0.59507,1.05967,0.86358,0.87933,0.92683,0.58932,1.32384,0.66097,1.23258,0.000544776,0.000544776,0.000544776
36,28559.1,1.04911,0.57644,1.0493,0.87221,0.86342,0.9278,0.5877,1.34145,0.6684,1.24541,0.000511769,0.000511769,0.000511769
37,29346,1.03807,0.56532,1.04269,0.84221,0.8867,0.91432,0.58636,1.34636,0.68517,1.24023,0.000478762,0.000478762,0.000478762
38,30133.5,1.01353,0.55773,1.03102,0.85737,0.87647,0.92548,0.58802,1.32895,0.65905,1.22261,0.000445756,0.000445756,0.000445756
39,30911.7,1.01311,0.55251,1.03618,0.87137,0.87665,0.92098,0.58691,1.34065,0.65906,1.24307,0.000412749,0.000412749,0.000412749
40,31710.5,1.01093,0.54537,1.03019,0.85334,0.87851,0.91992,0.58677,1.33539,0.67252,1.23528,0.000379743,0.000379743,0.000379743
