epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,746.04,1.71223,2.01454,1.73406,0.60945,0.55045,0.61387,0.26758,1.81147,2.01735,1.94469,0.000552194,0.000552194,0.000552194
2,1457.31,1.7522,1.74397,1.77127,0.53047,0.52933,0.52418,0.18912,2.03802,2.01616,2.13371,0.00108044,0.00108044,0.00108044
3,2602.37,1.77602,1.66857,1.76639,0.50694,0.53316,0.49108,0.19114,2.01186,1.98906,2.05621,0.00158118,0.00158118,0.00158118
4,3303.43,1.74549,1.60551,1.7467,0.6646,0.68818,0.7091,0.30099,1.90028,1.56317,1.94642,0.00154323,0.00154323,0.00154323
5,8207.64,1.75403,1.56811,1.74046,0.6748,0.68776,0.69197,0.30339,1.83372,1.56467,1.89108,0.00150197,0.00150197,0.00150197
6,8904.68,1.72361,1.49969,1.7165,0.74646,0.69124,0.72878,0.3384,1.81082,1.38606,1.84357,0.00146071,0.00146071,0.00146071
7,9601.74,1.68462,1.45094,1.69732,0.75521,0.72539,0.75753,0.35357,1.76797,1.33547,1.85889,0.00141945,0.00141945,0.00141945
8,10299.5,1.66708,1.40135,1.67746,0.73121,0.74883,0.76352,0.36322,1.73511,1.32704,1.82959,0.00137819,0.00137819,0.00137819
9,10996.7,1.64469,1.37229,1.66975,0.7782,0.7132,0.76779,0.37395,1.73994,1.29602,1.80142,0.00133693,0.00133693,0.00133693
10,11693.9,1.63229,1.34507,1.65256,0.73197,0.75306,0.77567,0.38372,1.68885,1.28155,1.78313,0.00129568,0.00129568,0.00129568
11,12391.2,1.61508,1.32948,1.64059,0.80851,0.74659,0.77336,0.37676,1.70626,1.25193,1.78274,0.00125442,0.00125442,0.00125442
12,13087.4,1.6158,1.32666,1.64842,0.83096,0.76013,0.81296,0.41503,1.6367,1.17345,1.71001,0.00121316,0.00121316,0.00121316
13,13783.9,1.59699,1.29406,1.63758,0.79896,0.77046,0.80247,0.40802,1.61172,1.18879,1.70319,0.0011719,0.0011719,0.0011719
14,14533.8,1.57984,1.25725,1.60714,0.81644,0.80781,0.83522,0.44052,1.60156,1.12157,1.69501,0.00113064,0.00113064,0.00113064
15,15298.7,1.56955,1.26974,1.61491,0.81133,0.79498,0.82902,0.42691,1.65621,1.11455,1.74556,0.00108938,0.00108938,0.00108938
16,16163.7,1.56188,1.23564,1.61527,0.83445,0.8125,0.84817,0.45226,1.57562,1.08286,1.66383,0.00104813,0.00104813,0.00104813
17,16888.6,1.54111,1.21715,1.59218,0.8407,0.80204,0.8417,0.44541,1.58633,1.07842,1.67434,0.00100687,0.00100687,0.00100687
18,17589.5,1.53868,1.20857,1.58514,0.8357,0.82943,0.85944,0.46377,1.54788,1.02407,1.64266,0.00096561,0.00096561,0.00096561
19,18288.1,1.53605,1.18182,1.58918,0.81776,0.8274,0.85703,0.46466,1.53443,1.04751,1.63963,0.000924352,0.000924352,0.000924352
20,18987.1,1.5175,1.17857,1.58213,0.82606,0.83276,0.86129,0.47467,1.51562,1.01414,1.62822,0.000883093,0.000883093,0.000883093
21,19686.5,1.50092,1.16958,1.56806,0.81224,0.81834,0.8404,0.45154,1.52758,1.08987,1.63262,0.000841835,0.000841835,0.000841835
22,20385.7,1.49037,1.15985,1.55989,0.83914,0.83254,0.85675,0.47292,1.50165,1.01442,1.61383,0.000800577,0.000800577,0.000800577
23,21084.7,1.48193,1.12967,1.54547,0.84596,0.84885,0.88115,0.49281,1.48285,0.95455,1.59976,0.000759318,0.000759318,0.000759318
24,21783.7,1.4507,1.10799,1.53261,0.83976,0.85398,0.88135,0.49725,1.45491,0.96646,1.5748,0.00071806,0.00071806,0.00071806
25,22483.4,1.4702,1.12079,1.54621,0.86162,0.84706,0.88341,0.49557,1.46794,0.96079,1.599,0.000676802,0.000676802,0.000676802
26,23184,1.45435,1.10165,1.52912,0.86078,0.86323,0.89193,0.51114,1.44125,0.9402,1.56018,0.000635544,0.000635544,0.000635544
27,23883.1,1.43117,1.07456,1.5182,0.86869,0.86437,0.89506,0.51625,1.42822,0.91015,1.55277,0.000594286,0.000594286,0.000594286
28,24582.6,1.43201,1.06583,1.51927,0.86505,0.86768,0.90075,0.53013,1.40656,0.88496,1.53152,0.000553027,0.000553027,0.000553027
29,25280.2,1.41816,1.05897,1.50477,0.87873,0.87514,0.90421,0.53467,1.39378,0.86857,1.5218,0.000511769,0.000511769,0.000511769
30,25979.1,1.40892,1.04455,1.49931,0.87249,0.86831,0.89881,0.52815,1.39396,0.89306,1.51855,0.000470511,0.000470511,0.000470511
31,26671.6,1.43035,0.96878,1.56625,0.87746,0.87932,0.9111,0.54841,1.35091,0.86356,1.49797,0.000429253,0.000429253,0.000429253
